"SiteID","HYBAS_ID","log_CVc","log_CVe","log_Delta","log_Psi","log_omega","s_nat_rich_covar","s_inv_rel_abund","yrs_with_intro","s_inv_rich","s_spat_btw_c","b_spat_wc_mean_c","s_spat_btw","b_spat_wc_mean"
"S12739",5070070390,-0.520470072661433,0.246409452007859,-0.0315321053959963,-0.370939769314131,-0.364407649959165,7.5,0.317028985507246,12,5,-0.00441537797516166,-15.0295242475442,0,49.8687301587302
"S12740",7070642870,-0.927864411831017,-0.284645765729128,-0.0123563607855879,-0.733229522960674,0.102367237644373,5,0,0,0,-0.00441537797516166,-33.0185025452322,0,31.8797518610422
"S12741",7070630060,-0.861348178408062,-0.587929170097279,0.0376006937830626,-0.129243979763366,-0.181775722330479,19,0,0,0,-0.00194632684522785,4.90841226039231,0.00246905112993382,69.8066666666667
"S12742",7070643030,-0.920918604818241,-0.577197397510336,-0.0278282863283312,-0.121252671862895,-0.194640249116678,15.5,0,0,0,0.00149013383586196,1.55698368896374,0.00590551181102362,66.4552380952381
"S12749",7070684690,-0.424019912695515,-0.290030234407598,0.00810481871616935,-0.056883913259392,-0.0852105837446945,18,0,0,0,-0.00441537797516166,7.58460273658278,0,72.4828571428571
"S12752",7070684690,-1.06961647674474,-0.344455304376434,-0.000173946400395522,-0.315864513023312,-0.409122712944602,14,0,0,0,-0.00381440138820786,7.58460273658278,0.0006009765869538,72.4828571428571
"S12753",7070684690,-0.727643616303421,-0.225968683578608,-0.0165205886873362,-0.195298709594802,-0.289855634442675,20,0,0,0,-0.00385613587341299,7.58460273658278,0.000559242101748675,72.4828571428571
"S12754",7070684690,-0.601970823581811,-0.306931261763232,0.0672693708290129,-0.158826836951767,-0.203482095695825,20.5,0,0,0,-0.00389787035861811,7.58460273658278,0.00051750761654355,72.4828571428571
"S12755",7070643030,-1.1352034826869,-0.564066188182037,-0.105756831373215,-0.19238369394373,-0.27299676918792,17,0,0,0,1.37558831060551e-05,1.55698368896374,0.00442913385826772,66.4552380952381
"S12756",7070684690,-1.20811768535409,-0.381307774383622,0.109954104613601,-0.385314237948727,-0.551449777635341,19,0,0,0,-0.00247889786164386,7.58460273658278,0.0019364801135178,72.4828571428571
"S12763",7070684690,-1.02007050833781,-0.478513920960731,-0.0307183540866752,-0.224683014976109,-0.286155218314297,18,0,0,0,-0.00394795174086426,7.58460273658278,0.0004674262342974,72.4828571428571
"S12764",7070684690,-1.14656738497285,-0.687523155519827,-0.0639366713345737,-0.194032939134462,-0.201074618983988,16,0,0,0,-0.00395629863790529,7.58460273658278,0.000459079337256375,72.4828571428571
"S12768",7070643030,0.00420737578273855,0.0104754068364201,0.07637236664557,-0.0434730110363287,-0.0391673866629228,12,0,2,1,-0.00293900002240576,1.55698368896374,0.00147637795275591,66.4552380952381
"S12770",7070643030,-1.24719278309862,-0.340883782243806,0.0685134455793724,-0.656816187037771,-0.318006259396414,14,0,0,0,-0.00293900002240576,1.55698368896374,0.00147637795275591,66.4552380952381
"S12771",7070643030,-0.866510094981222,-0.211512807365389,0.0342351708115056,-0.28944059540278,-0.399791863024559,13,0,0,0,-0.00244687403815379,1.55698368896374,0.00196850393700787,66.4552380952381
"S12783",7070630060,-1.19345410691377,-0.322869953061917,-0.00108370017980133,-0.357329360235046,-0.512171093437006,18,0,1,1,-0.0033180219174133,4.90841226039231,0.00109735605774836,69.8066666666667
"S12785",7070630060,-0.702666401625428,-0.637267391320933,0.141422041995147,-0.0965217689077716,-0.11029928339187,14.5,0,0,0,-0.00208349635244639,4.90841226039231,0.00233188162271527,69.8066666666667
"S12786",7070630060,-0.636349316070156,-0.60099718133522,0.133545405521077,-0.0944774157572748,-0.0744201244987375,16,0,0,0,-0.00222066585966494,4.90841226039231,0.00219471211549673,69.8066666666667
"S12789",7070630060,-1.2369918152083,-0.627723008047988,-0.0312337420874334,-0.31001428762485,-0.268020777448027,18.5,0,0,0,-0.0036952380622643,4.90841226039231,0.000720139912897363,69.8066666666667
"S12803",7070643030,-0.462243454040743,-0.228843358128938,-0.042083097254424,-0.0903563417069626,-0.100960656950418,14,0,0,0,0.00358166926893283,1.55698368896374,0.00799704724409449,66.4552380952381
"S12819",7070643030,-0.861201513738573,-0.497613278480765,0.00273516913957942,-0.219841581000877,-0.14648182339651,11,0,0,0,-0.00441537797516166,1.55698368896374,0,66.4552380952381
"S12828",7070684690,-0.800279706595649,-0.0969362702656885,0.0855728866887107,-0.252954290720889,-0.535962032297782,18,0,0,0,-0.00378101380004376,7.58460273658278,0.0006343641751179,72.4828571428571
"S12867",7070642870,-1.13796162927758,-0.171229154423215,-0.0913665665280882,-0.256673592936408,-0.618692315389869,15,0,0,0,-0.00422966719342439,-33.0185025452322,0.000185710781737272,31.8797518610422
"S12868",7070642870,-0.785708057316008,-0.181671473966973,-0.0611580263854113,-0.195989495901941,-0.346889061061682,13.5,0,0,0,-0.00421214730835484,-33.0185025452322,0.000203230666806826,31.8797518610422
"S12870",7070642870,-1.21666492085951,-0.697091919240815,-0.01603647276487,-0.221925789117481,-0.281610739736341,17,0,0,0,-0.00410702799793751,-33.0185025452322,0.000308349977224149,31.8797518610422
